,fold,best_score,R-square,best_params
0,0.0,-0.013395171271701959,0.9974127903559884,{'activation_1': 'tanh'}
1,1.0,-0.020346590358425416,0.9952255877650471,{'activation_1': 'tanh'}
2,2.0,-0.016571327922201243,0.9976457260192012,{'activation_1': 'tanh'}
3,3.0,-0.013737245889006992,0.9978877401247385,{'activation_1': 'tanh'}
4,4.0,-0.0127501268567244,0.9983115580464658,{'activation_1': 'tanh'}
5,5.0,-0.01233606571104438,0.9985700065228306,{'activation_1': 'tanh'}
6,6.0,-0.011662020443219349,0.9986512609088821,{'activation_1': 'tanh'}
7,7.0,-0.010703097178305065,0.9990066433030865,{'activation_1': 'tanh'}
8,8.0,-0.0113284197369915,0.9989742362542436,{'activation_1': 'tanh'}
9,9.0,-0.009865877293301602,0.9991397156295193,{'activation_1': 'tanh'}
