,fold,best_score,R-square,best_params
0,0.0,-0.01221027962562905,0.9983853339828299,{'optimizer': 'adam'}
1,1.0,-0.019952691891108196,0.9964237352578112,{'optimizer': 'adam'}
2,2.0,-0.017384385944848754,0.997335256757638,{'optimizer': 'adam'}
3,3.0,-0.014168389988732696,0.9983127140622942,{'optimizer': 'adam'}
4,4.0,-0.012732337420561434,0.9986148876831568,{'optimizer': 'adam'}
5,5.0,-0.012681186034337839,0.9988099803232685,{'optimizer': 'adam'}
6,6.0,-0.012049350917410915,0.9987537896206455,{'optimizer': 'adam'}
7,7.0,-0.01074155877310234,0.9989334618163686,{'optimizer': 'adam'}
8,8.0,-0.010480618240856896,0.9975927815019239,{'optimizer': 'adam'}
9,9.0,-0.010644857980343005,0.99864907112931,{'optimizer': 'adam'}
