epoch	loss	acc	val_loss	val_acc
0	0.05077843368053436	0.33210325241088867	0.074335977435112	0.24303215742111206
1	0.027408979833126068	0.3321338891983032	0.021279167383909225	0.24303215742111206
2	0.023647954687476158	0.3321492075920105	0.026705248281359673	0.24303215742111206
3	0.022196469828486443	0.33217981457710266	0.021104037761688232	0.24303215742111206
4	0.019048359245061874	0.33217981457710266	0.019782915711402893	0.24303215742111206
5	0.019442487508058548	0.33217981457710266	0.01764548011124134	0.24303215742111206
6	0.018720360472798347	0.33217981457710266	0.026268815621733665	0.24303215742111206
7	0.018898919224739075	0.33217981457710266	0.026187624782323837	0.24303215742111206
8	0.018731914460659027	0.33217981457710266	0.025369739159941673	0.24303215742111206
9	0.017010759562253952	0.33217981457710266	0.013724304735660553	0.24303215742111206
10	0.01642380654811859	0.33217981457710266	0.021678121760487556	0.24303215742111206
11	0.016195712611079216	0.33217981457710266	0.013765024952590466	0.24303215742111206
12	0.01554136723279953	0.33217981457710266	0.022099005058407784	0.24303215742111206
13	0.015831945464015007	0.33217981457710266	0.02172761783003807	0.24303215742111206
14	0.014674787409603596	0.33217981457710266	0.021936612203717232	0.24303215742111206
15	0.015038651414215565	0.33217981457710266	0.021441711112856865	0.24303215742111206
16	0.015382600948214531	0.33217981457710266	0.018030663952231407	0.24303215742111206
17	0.014985973946750164	0.33217981457710266	0.02795661985874176	0.24303215742111206
18	0.015462427400052547	0.33217981457710266	0.023184869438409805	0.24303215742111206
19	0.015301273204386234	0.33217981457710266	0.02978864498436451	0.24303215742111206
20	0.015113775618374348	0.33217981457710266	0.0194404274225235	0.24303215742111206
21	0.013493943028151989	0.33217981457710266	0.01404605619609356	0.24303215742111206
22	0.013313799165189266	0.33217981457710266	0.014783338643610477	0.24303215742111206
23	0.013229146599769592	0.33217981457710266	0.02030765637755394	0.24303215742111206
24	0.012924425303936005	0.33217981457710266	0.014070858247578144	0.24303215742111206
